"種類","年月","業者名稱","通話分鐘數（分）","用戶數","平均用戶通話分鐘數（分）"
"3G","103/10","遠傳電信股份有限公司","602519835","6235091","96.63"
"2G","103/10","中華電信股份有限公司","109700058","1619208","67.75"
"2G","103/10","台灣大哥大股份有限公司","12553248","473200","26.53"
"2G","103/10","遠傳電信股份有限公司","21457025","533187","40.24"
"4G","103/9","所有業者","84156082.83","1168738","72.01"
"3G","103/9","中華電信股份有限公司","909107970","8959794","101.47"
"3G","103/9","台灣大哥大股份有限公司","474684505","6698383","70.87"
"3G","103/9","亞太電信股份有限公司","206405398","1920622","107.47"
"3G","103/9","威寶電信股份有限公司(至103年12止)","89120735","1558699","57.18"
"3G","103/9","遠傳電信股份有限公司","634326511","6401283","99.09"
"2G","103/9","中華電信股份有限公司","113491092","1697813","66.85"
"2G","103/9","台灣大哥大股份有限公司","13471647","492430","27.36"
"2G","103/9","遠傳電信股份有限公司","23401803","554414","42.21"
"4G","103/8","所有業者","51333626.95","643094","79.82"
"3G","103/8","中華電信股份有限公司","930568067","9031424","103.04"
"3G","103/8","台灣大哥大股份有限公司","496991153","6790323","73.19"
"3G","103/8","亞太電信股份有限公司","221113397","1955055","113.1"
"3G","103/8","威寶電信股份有限公司(至103年12止)","97334312","1625860","59.87"
"3G","103/8","遠傳電信股份有限公司","669316498","6505026","102.89"
"2G","103/8","中華電信股份有限公司","123129565","1786878","68.91"
"2G","103/8","台灣大哥大股份有限公司","15009040","510196","29.42"
"2G","103/8","遠傳電信股份有限公司","26451387","575506","45.96"
"4G","103/7","所有業者","19764202.32","343687","57.51"
"3G","103/7","中華電信股份有限公司","900060990","8956735","100.49"
"3G","103/7","台灣大哥大股份有限公司","525489122","6807409","77.19"
"3G","103/7","亞太電信股份有限公司","239182574","1991271","120.12"
"3G","103/7","威寶電信股份有限公司(至103年12止)","101317070","1639016","61.82"
"3G","103/7","遠傳電信股份有限公司","713892081","6598613","108.19"
"2G","103/7","中華電信股份有限公司","123343520","1890407","65.25"
"2G","103/7","台灣大哥大股份有限公司","16606286","532902","31.16"
"2G","103/7","遠傳電信股份有限公司","30315984","603161","50.26"
"4G","103/6","所有業者","1129065.883","103905","10.87"
"3G","103/6","中華電信股份有限公司","927701688","8876737","104.51"
"3G","103/6","台灣大哥大股份有限公司","520234312","6823700","76.24"
"3G","103/6","亞太電信股份有限公司","244162858","2025234","120.56"
"3G","103/6","威寶電信股份有限公司(至103年12止)","101938183","1728210","58.98"
"3G","103/6","遠傳電信股份有限公司","712251660","6653729","107.05"
"2G","103/6","中華電信股份有限公司","133884235","1999077","66.97"
"2G","103/6","台灣大哥大股份有限公司","18660075","558906","33.39"
"2G","103/6","遠傳電信股份有限公司","32102668","629232","51.02"
"4G","103/5","所有業者","1682","3047","0.55"
"3G","103/5","中華電信股份有限公司","886541282","8739002","101.45"
"3G","103/5","台灣大哥大股份有限公司","547741897","6805966","80.48"
"3G","103/5","亞太電信股份有限公司","266452736","2048112","130.1"
"3G","103/5","威寶電信股份有限公司(至103年12止)","109624771","1731537","63.31"
"3G","103/5","遠傳電信股份有限公司","748941263","6628406","112.99"
"2G","103/5","中華電信股份有限公司","134950459","2118059","63.71"
"2G","103/5","台灣大哥大股份有限公司","19815087","585249","33.86"
"2G","103/5","遠傳電信股份有限公司","36441211","655946","55.56"
"3G","103/4","中華電信股份有限公司","903806322","8574748","105.4"
"3G","103/4","台灣大哥大股份有限公司","531500681","6736209","78.9"
"3G","103/4","亞太電信股份有限公司","267742044","2069496","129.38"
"3G","103/4","威寶電信股份有限公司(至103年12止)","110255687","1729392","63.75"
"3G","103/4","遠傳電信股份有限公司","728387158","6573106","110.81"
"2G","103/4","中華電信股份有限公司","143609005","2234090","64.28"
"2G","103/4","台灣大哥大股份有限公司","21039148","617966","34.05"
"2G","103/4","遠傳電信股份有限公司","39796436","682339","58.32"
"3G","103/3","中華電信股份有限公司","789074085","8438187","93.51"
"3G","103/3","台灣大哥大股份有限公司","555031416","6652689","83.43"
"3G","103/3","亞太電信股份有限公司","278823862","2091744","133.3"
"3G","103/3","威寶電信股份有限公司(至103年12止)","119203433","1726541","69.04"
"3G","103/3","遠傳電信股份有限公司","759460621","6523102","116.43"
